N,seed,candidate_index,angles_sha256_float64,OT_cost,R_N,lambda_R,weighted_R_N,J_N,objective_grid_points,objective_time_steps,sinkhorn_n_iter,sinkhorn_err_l1,rank_J,rank_R,rank_OT,selected_J,selected_R,selected_OT
24,2,31,c2d142f310ea938a0e4730e175087d28c87e339ec2dab6f20ca505df3832f9fa,0.01164789067590385,0.5322813684116454,0.001,0.0005322813684116454,0.012180172044315495,579,721,30,9.896054642410945e-09,14.0,17.0,17.0,False,False,False
24,2,32,4e45983cf0aa2787fe5c279546c06a35fdb796165b7690e4f406f92d94e4b854,0.011648399238901824,0.5102460666498125,0.001,0.0005102460666498125,0.012158645305551637,579,721,30,9.483400398302422e-09,6.0,5.0,22.0,False,False,False
24,2,33,9da78646a4e9faa4c1bc36fae678517eeb68b2ddb95d49dadd4a8e576f8470a3,0.011649772339974546,0.5207696188605664,0.001,0.0005207696188605664,0.012170541958835112,579,721,31,4.917673601667616e-09,8.0,9.0,29.0,False,False,False
24,2,34,1b16a370fb4d41a7f5cc9651c720f0e29cff2ab19f69e70a2ef7b88d3f83bec9,0.011663265133440142,0.5373337527267074,0.001,0.0005373337527267073,0.012200598886166848,579,721,30,9.530886968533991e-09,31.0,19.0,59.0,False,False,False
24,2,35,56fa5b6e848ee436da4146e4aa4dbb913bbef8e91df835cbe1eb6e143df6106d,0.011650954904256024,0.5479332862905991,0.001,0.0005479332862905991,0.012198888190546623,579,721,31,4.949137322185493e-09,28.0,31.0,34.0,False,False,False
24,2,36,83f373c6588d7be04f4b15c240f86728053215de2205e153ec14750b48c2df9f,0.011645525223417325,0.5166242180787138,0.001,0.0005166242180787139,0.012162149441496038,579,721,31,5.247773660066457e-09,7.0,7.0,11.0,False,False,False
24,2,37,7deef8342bcff235a5725de2d39ed358c73abda9f1f82e7a9b9190860d99e1cf,0.011650769469241203,0.5835391199303694,0.001,0.0005835391199303695,0.012234308589171572,579,721,30,9.121811972434557e-09,47.0,48.0,33.0,False,False,False
24,2,38,b3d2955a3a83934ed12ef5507406ee2d339756db2d123376615e1ac6c94731c8,0.01164090323484503,0.5444132572331135,0.001,0.0005444132572331135,0.012185316492078144,579,721,30,9.853157179051664e-09,19.0,29.0,2.0,False,False,False
24,2,39,582a0a9d95934bba2a7ceda898f0c60536529b40e538bfc4de8e4ec42d606fa9,0.011660781367922672,0.5251066108072735,0.001,0.0005251066108072735,0.012185887978729945,579,721,31,5.028266358841904e-09,20.0,12.0,56.0,False,False,False
24,2,40,41a7c036977f4e865b366b9ec41da55f47a31b8568055e93854ba4310b74e264,0.01165208540373719,0.5020207491501895,0.001,0.0005020207491501895,0.012154106152887381,579,721,31,5.1667398137666964e-09,5.0,3.0,37.0,False,False,False
24,2,41,62bac0b31a809bec9c5da6d718575a832a6d4755df9ba779d8962e1846c9ec7a,0.011647104633260547,0.5443342636570866,0.001,0.0005443342636570866,0.012191438896917633,579,721,30,9.439173331848849e-09,23.0,27.0,15.0,False,False,False
