N,fov_half_angle_deg,slew_deg,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,uncovered_median
8,30.0,30.0,3,135.0,90.0,144.0,170.0,136.0,235.0,0.0
12,30.0,30.0,3,76.0,73.0,88.0,89.0,89.0,89.0,0.0
16,30.0,30.0,3,68.0,60.0,70.0,85.0,80.0,138.0,0.0
24,30.0,30.0,3,40.0,39.0,48.0,49.0,48.0,53.0,0.0
30,30.0,30.0,3,37.0,36.0,43.0,56.0,56.0,58.0,0.0
36,30.0,30.0,3,33.0,28.0,34.0,39.0,37.0,56.0,0.0
