N,seed,candidate_count,lambda_R,OT_cost_min,OT_cost_max,OT_cost_range,OT_cost_median,R_N_min,R_N_max,R_N_range,weighted_R_N_min,weighted_R_N_max,weighted_R_N_range,OT_range_over_weighted_R_range,weighted_R_range_over_OT_range,spearman_J_R,spearman_J_OT,J_argmin_index,R_argmin_index,OT_argmin_index,J_R_same_selected_candidate,J_R_identical_full_ranking,OT_unique_values,R_unique_values,J_unique_values,pool_sha256_float64
24,0,60,0.001,0.011638808718539626,0.01166270812347911,2.3899404939483823e-05,0.011651968072252897,0.49178411296282,0.6541269245711366,0.16234281160831665,0.00049178411296282,0.0006541269245711367,0.00016234281160831668,0.14721566481887566,6.792755385307219,0.9800500138927482,0.37393720477910536,44,47,9,False,False,60,60,60,7e58d8728799dbd11dd8062604f0b276a1a97d1e99c30081ed6dff8cb86b5b21
24,1,60,0.001,0.011634956584693849,0.011674059103735895,3.910251904204638e-05,0.011651686331948925,0.4835951674509947,0.7007906454926475,0.2171954780416528,0.0004835951674509947,0.0007007906454926475,0.00021719547804165275,0.18003376218793782,5.5545137081349045,0.9774381772714644,0.45018060572381224,46,46,28,True,False,60,60,60,30b9992f019a52caa5850e33a1346f8905541b43c510bc83448f2de10652c06b
24,2,60,0.001,0.011637161013616556,0.011666170766830242,2.9009753213685846e-05,0.011650331313230133,0.496845013834013,0.6608857404583584,0.16404072662434532,0.000496845013834013,0.0006608857404583584,0.0001640407266243454,0.17684482268917534,5.65467501278006,0.9801611558766326,0.11669908307863297,44,58,26,False,False,60,60,60,ec83c06d5ce9cfbcfb94a6ecb07fddef83112654f23eb997fc75b388b3b4ddcc
30,0,60,0.001,0.01164195475027141,0.011668926904572757,2.6972154301346113e-05,0.01165324191536099,0.5103815969266288,0.598530103015284,0.08814850608865521,0.0005103815969266288,0.000598530103015284,8.814850608865527e-05,0.3059853819214916,3.2681299796752237,0.9738816337871633,0.27029730480689085,19,28,19,False,False,60,60,60,19853a3d6fd5b2a0351b5a964ebc2631b4a2db916bf4c321182d0132ce4a82ff
30,1,60,0.001,0.011639564626810471,0.01166995355062619,3.038892381571935e-05,0.011654348231682094,0.4996979349389946,0.6995271187071651,0.1998291837681705,0.0004996979349389946,0.0006995271187071651,0.0001998291837681705,0.15207450304643544,6.575724266510694,0.9788274520700198,0.2508474576271187,23,23,30,True,False,60,60,60,ddcf28c18fb0d350a4effb2427a1567ed31d5d4da79393378eb398346da2d7c7
30,2,60,0.001,0.011637009499593043,0.011668965056108474,3.195555651543114e-05,0.011652973820571693,0.4943500513402207,0.6885642447051459,0.19421419336492518,0.0004943500513402207,0.0006885642447051459,0.00019421419336492526,0.16453769913400293,6.077634519403236,0.9853848291192001,0.31264240066685195,57,57,57,True,False,60,60,60,ead020c3740ebec086bd2c1cc709780537a50d9d92dc70ce981974148c0f07b8
36,0,60,0.001,0.011641398387727703,0.01166968523127933,2.828684355162675e-05,0.011656217932609117,0.5141353833502471,0.6486997793874341,0.13456439603718695,0.0005141353833502471,0.0006486997793874341,0.00013456439603718698,0.2102104597103803,4.757137210858873,0.9699360933592666,0.38427340928035575,49,49,26,True,False,60,60,60,2d4320f9746e2f9e7b599de2c7f79cea9c1e22a24c59c3bbfdd5b38935a6c90f
36,1,60,0.001,0.011644734998526163,0.01167065210729334,2.5917108767176122e-05,0.011658676141879553,0.507412152505404,0.7155660746464052,0.20815392214100126,0.000507412152505404,0.0007155660746464052,0.00020815392214100124,0.12450934625973634,8.03152558454464,0.9737149208113366,0.3575437621561546,19,19,19,True,False,60,60,60,5ccf4c93c81849eb5da77a76d06c85b889b8d3786450d3ae090aafc922b39900
36,2,60,0.001,0.0116375823749522,0.011666418792529646,2.8836417577445678e-05,0.01165590368232416,0.5104763995950449,0.6614420325605411,0.15096563296549625,0.0005104763995950449,0.0006614420325605411,0.00015096563296549618,0.19101312670305803,5.235242295963058,0.9621561544873578,0.014948596832453464,53,53,17,True,False,60,60,60,d726934738da6fb7f5de0efcb2b202073b19be938a39c4114383c3484806332e
