N,fov_half_angle_deg,slew_deg,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,uncovered_median
8,30.0,30.0,3,125.0,119.0,138.0,175.0,146.0,237.0,0.0
12,30.0,30.0,3,70.0,55.0,142.0,145.0,84.0,155.0,0.0
16,30.0,30.0,3,72.0,68.0,75.0,88.0,83.0,98.0,0.0
24,30.0,30.0,3,41.0,40.0,45.0,62.0,55.0,68.0,0.0
30,30.0,30.0,3,46.0,42.0,46.0,50.0,47.0,61.0,0.0
36,30.0,30.0,3,34.0,31.0,45.0,40.0,36.0,54.0,0.0
